number,value,datetime_start,datetime_complete,duration,params_batchsize,params_conv_filter_1,params_conv_filter_2,params_dropout_l,params_lr,params_n_layers_conv1,params_n_layers_conv2,params_n_layers_fc,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
35,0.9146440129449838,2023-04-09 23:50:06.088814,2023-04-09 23:50:56.659221,0 days 00:00:50.570407,103,27,3,0.10687615117704982,0.001173770783555746,2,0,2,288,292.0,,Adam,COMPLETE
68,0.9136,2023-04-10 00:18:13.079520,2023-04-10 00:18:58.383507,0 days 00:00:45.303987,125,79,4,0.21067434031640414,0.000276519294158528,2,0,2,217,376.0,,Adam,COMPLETE
121,0.9133825944170771,2023-04-10 01:03:38.026287,2023-04-10 01:04:27.656956,0 days 00:00:49.630669,116,88,3,0.15284225321242434,0.0007945723939708891,2,0,2,342,353.0,,Adam,COMPLETE
135,0.9133064516129032,2023-04-10 01:15:34.760692,2023-04-10 01:16:23.643257,0 days 00:00:48.882565,124,65,3,0.2189960452080857,0.0009515982786843605,2,0,2,268,94.0,,Adam,COMPLETE
81,0.9132231404958677,2023-04-10 00:29:29.986537,2023-04-10 00:30:22.036452,0 days 00:00:52.049915,110,61,3,0.22587710608848238,0.0003593824279442325,2,0,2,295,368.0,,Adam,COMPLETE
133,0.912765106042417,2023-04-10 01:13:53.982905,2023-04-10 01:14:45.235236,0 days 00:00:51.252331,119,68,4,0.17731241679037155,0.0005657025613729215,2,0,2,234,326.0,,Adam,COMPLETE
53,0.912711182622687,2023-04-10 00:05:05.835891,2023-04-10 00:05:58.137185,0 days 00:00:52.301294,113,74,4,0.11718130579474655,0.0001538813848858171,2,0,2,377,394.0,,Adam,COMPLETE
83,0.9126602564102564,2023-04-10 00:31:09.702160,2023-04-10 00:32:02.568115,0 days 00:00:52.865955,104,65,4,0.20821092330738986,0.0006979813100803066,2,0,2,300,384.0,,Adam,COMPLETE
127,0.9122596153846154,2023-04-10 01:08:42.835696,2023-04-10 01:09:44.910030,0 days 00:01:02.074334,64,65,9,0.11659508472037824,0.002779920773287505,2,0,2,334,382.0,,Adam,COMPLETE
64,0.9122308004876066,2023-04-10 00:14:44.370248,2023-04-10 00:15:36.628711,0 days 00:00:52.258463,107,59,5,0.1782498670029277,0.0003771173827856945,2,0,2,278,400.0,,Adam,COMPLETE
34,0.9121732026143791,2023-04-09 23:49:15.764623,2023-04-09 23:50:06.085957,0 days 00:00:50.321334,102,31,3,0.17046533455501367,0.0014401933374871253,2,0,2,306,295.0,,Adam,COMPLETE
91,0.9121510673234812,2023-04-10 00:37:58.630397,2023-04-10 00:38:49.060137,0 days 00:00:50.429740,116,72,4,0.146606605555073,0.0001317535797508242,2,0,2,279,340.0,,Adam,COMPLETE
56,0.9119318181818182,2023-04-10 00:07:41.581189,2023-04-10 00:08:34.180417,0 days 00:00:52.599228,112,74,4,0.15446213375090367,0.00015997380501015242,2,0,2,274,374.0,,Adam,COMPLETE
89,0.9118012422360249,2023-04-10 00:36:16.467054,2023-04-10 00:37:09.912515,0 days 00:00:53.445461,115,70,5,0.14957485532575707,0.002424608480798906,2,0,2,271,217.0,,Adam,COMPLETE
72,0.9118012422360249,2023-04-10 00:21:31.533385,2023-04-10 00:22:22.476403,0 days 00:00:50.943018,115,57,3,0.15112878468770452,0.00048745895876553845,2,0,2,314,355.0,,Adam,COMPLETE
101,0.9115646258503401,2023-04-10 00:46:17.859813,2023-04-10 00:47:04.707072,0 days 00:00:46.847259,119,62,3,0.13902192043426237,0.0004554396419233021,2,0,2,293,364.0,,Adam,COMPLETE
128,0.911504424778761,2023-04-10 01:09:44.912706,2023-04-10 01:10:36.461635,0 days 00:00:51.548929,113,80,3,0.15633515477284304,0.0006676821230749441,2,0,2,377,345.0,,Adam,COMPLETE
84,0.9113821138211382,2023-04-10 00:32:02.571735,2023-04-10 00:32:54.912287,0 days 00:00:52.340552,123,63,3,0.17994936865012143,0.0003121117721095786,2,0,2,284,316.0,,Adam,COMPLETE
90,0.9112903225806451,2023-04-10 00:37:09.915542,2023-04-10 00:37:58.626293,0 days 00:00:48.710751,124,63,13,0.16793144029028279,0.0008466589602934717,2,0,2,304,192.0,,Adam,COMPLETE
124,0.9111384111384111,2023-04-10 01:06:13.533335,2023-04-10 01:07:02.754570,0 days 00:00:49.221235,111,73,3,0.2005854016949662,0.0012678790551273525,2,0,2,393,378.0,,Adam,COMPLETE
63,0.9109756097560976,2023-04-10 00:13:54.987239,2023-04-10 00:14:44.367032,0 days 00:00:49.379793,123,65,4,0.24872269207421852,0.0009380384298407025,2,0,2,253,396.0,,Adam,COMPLETE
131,0.9108333333333334,2023-04-10 01:12:15.613812,2023-04-10 01:13:06.171080,0 days 00:00:50.557268,120,62,4,0.1881130509133104,0.0007140638767013879,2,0,2,243,370.0,,Adam,COMPLETE
39,0.910609857978279,2023-04-09 23:53:34.461531,2023-04-09 23:54:22.538283,0 days 00:00:48.076752,126,50,3,0.1416878441026963,0.0014872871435931663,2,0,2,288,283.0,,Adam,COMPLETE
